,Class,HistoricalPrice,Id,Level,MarketValue,MinBuyout,Name,NumAuctions,Quantity,RegionAvgDailySold,RegionHistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionSaleAvg,RegionSaleRate,SubClass,VendorBuy,VendorSell,RegionQuantity_Log
117,Consumable,1903484,153573,1,287295,810000,Electroshock Mount Motivator,1,1,3.0,1849961,847874,752807,18,2294874,0.12,Explosives and Devices,0,0,2.8903717578961645
118,Consumable,362178,153597,1,139583,110000,Deployable Attire Rearranger,21,58,19.44,666344,403391,272031,59,195747,0.24,Explosives and Devices,0,0,4.07753744390572
119,Consumable,2669299,158212,110,2946626,2499805,Crow's Nest Scope,2,2,18.6,4033255,2015557,1499857,45,1544119,0.31,Explosives and Devices,1200000,50000,3.8066624897703196
120,Consumable,1423285,158327,100,1780724,2200000,Monelite Scope of Alacrity,34,34,8.85,2631608,583856,442425,47,796792,0.15,Explosives and Devices,120000,30000,3.8501476017100584
121,Consumable,47202,159827,110,267,282,Bomb-samdi Mojo Bombs,2,2,6.2,91038,20000,18626,41,12624,0.1,Explosives and Devices,0,0,3.713572066704308
122,Consumable,28108363,163558,120,23584419,0,Sporonite Bomb,0,0,0.0,135568389,84896623,54077495,2,0,0.0,Explosives and Devices,469000,10000,0.6931471805599453
123,Consumable,97205,118,5,0,0,Minor Healing Potion,0,0,3.75,91416,172250,107705,12,12991,0.25,Potion,20,5,2.4849066497880004
124,Consumable,5240,858,13,5808,5699,Lesser Healing Potion,3,3,1.05,21720,17606,35832,23,3161,0.05,Potion,100,25,3.1354942159291497
125,Consumable,11225,929,22,18371,23799,Healing Potion,2,2,3.36,62871,30674,23936,12,14933,0.24,Potion,300,75,2.4849066497880004
126,Consumable,80390,1710,31,9787,9500,Greater Healing Potion,1,1,4.2,24122,26851,20364,12,13296,0.28,Potion,500,125,2.4849066497880004
127,Consumable,8477,2455,15,13200,0,Minor Mana Potion,0,0,1.53,25265,27171,24953,7,918,0.17,Potion,40,10,1.9459101490553132
128,Consumable,12819,2456,15,0,0,Minor Rejuvenation Potion,0,0,13.0,65078,82530,70806,12,2693,1.0,Potion,60,15,2.4849066497880004
